"group_A","EOs_A","n_locs_A","group_B","EOs_B","n_locs_B","min_dist_m","connected"
14,"EO25",1,23,"EO08",1,96126.9,FALSE
17,"EO24",1,26,"EO26",2,96138.9,FALSE
18,"EO24",1,28,"EO26",1,96350.7,FALSE
15,"EO25",1,22,"EO08",1,96443,FALSE
18,"EO24",1,26,"EO26",2,96467.4,FALSE
16,"EO24",1,25,"EO26",2,96524,FALSE
15,"EO25",1,21,"EO08",1,96673.7,FALSE
13,"EO18",5,28,"EO26",1,96734.5,FALSE
13,"EO18",5,26,"EO26",2,96786,FALSE
14,"EO25",1,22,"EO08",1,97043.5,FALSE
19,"EO24",1,28,"EO26",1,97108.4,FALSE
17,"EO24",1,25,"EO26",2,97186.6,FALSE
19,"EO24",1,26,"EO26",2,97229.7,FALSE
14,"EO25",1,21,"EO08",1,97269.8,FALSE
18,"EO24",1,25,"EO26",2,97515.7,FALSE
1,"EO38",1,30,"EO61",1,97536.5,FALSE
16,"EO24",1,24,"EO26",1,97806.1,FALSE
13,"EO18",5,25,"EO26",2,97840.8,FALSE
19,"EO24",1,25,"EO26",2,98277.4,FALSE
17,"EO24",1,24,"EO26",1,98469.3,FALSE
15,"EO25",1,28,"EO26",1,98495.7,FALSE
15,"EO25",1,26,"EO26",2,98571.4,FALSE
18,"EO24",1,24,"EO26",1,98800.3,FALSE
14,"EO25",1,28,"EO26",1,99104.3,FALSE
13,"EO18",5,24,"EO26",1,99145.4,FALSE
14,"EO25",1,26,"EO26",2,99174.1,FALSE
19,"EO24",1,24,"EO26",1,99560.3,FALSE
15,"EO25",1,25,"EO26",2,99624.5,FALSE
16,"EO24",1,27,"EO26",1,100017.2,FALSE
14,"EO25",1,25,"EO26",2,100227.6,FALSE
17,"EO24",1,27,"EO26",1,100680.3,FALSE
15,"EO25",1,24,"EO26",1,100922.4,FALSE
18,"EO24",1,27,"EO26",1,101010.8,FALSE
13,"EO18",5,27,"EO26",1,101345.2,FALSE
14,"EO25",1,24,"EO26",1,101527.3,FALSE
19,"EO24",1,27,"EO26",1,101771.2,FALSE
4,"EO118",1,8,"EO29",1,101811.6,FALSE
15,"EO25",1,27,"EO26",1,103127.3,FALSE
14,"EO25",1,27,"EO26",1,103731.1,FALSE
3,"EO52",1,30,"EO61",1,103939.9,FALSE
1,"EO38",1,23,"EO08",1,104141.2,FALSE
1,"EO38",1,22,"EO08",1,105570.4,FALSE
1,"EO38",1,21,"EO08",1,106015.5,FALSE
2,"EO76",1,30,"EO61",1,106465.4,FALSE
1,"EO38",1,28,"EO26",1,107080.3,FALSE
1,"EO38",1,26,"EO26",2,107458.7,FALSE
1,"EO38",1,25,"EO26",2,108425.2,FALSE
1,"EO38",1,24,"EO26",1,109560.5,FALSE
3,"EO52",1,23,"EO08",1,110522.3,FALSE
1,"EO38",1,27,"EO26",1,111704.5,FALSE
3,"EO52",1,22,"EO08",1,111957.4,FALSE
3,"EO52",1,21,"EO08",1,112405,FALSE
3,"EO52",1,28,"EO26",1,113458.1,FALSE
4,"EO118",1,30,"EO61",1,113545.2,FALSE
2,"EO76",1,23,"EO08",1,113666.3,FALSE
3,"EO52",1,26,"EO26",2,113840.8,FALSE
3,"EO52",1,25,"EO26",2,114805.2,FALSE
2,"EO76",1,22,"EO08",1,115039.2,FALSE
2,"EO76",1,21,"EO08",1,115458.6,FALSE
3,"EO52",1,24,"EO26",1,115936.7,FALSE
2,"EO76",1,28,"EO26",1,116630.4,FALSE
2,"EO76",1,26,"EO26",2,116971.8,FALSE
2,"EO76",1,25,"EO26",2,117955.9,FALSE
3,"EO52",1,27,"EO26",1,118077.7,FALSE
2,"EO76",1,24,"EO26",1,119119.3,FALSE
4,"EO118",1,23,"EO08",1,120553.9,FALSE
2,"EO76",1,27,"EO26",1,121284.1,FALSE
4,"EO118",1,22,"EO08",1,121950.6,FALSE
4,"EO118",1,21,"EO08",1,122380.5,FALSE
4,"EO118",1,28,"EO26",1,123507.9,FALSE
4,"EO118",1,26,"EO26",2,123865.3,FALSE
4,"EO118",1,25,"EO26",2,124842.2,FALSE
8,"EO29",1,20,"EO70",1,125891.7,FALSE
4,"EO118",1,24,"EO26",1,125993.5,FALSE
5,"EO68",1,8,"EO29",1,127819.1,FALSE
4,"EO118",1,27,"EO26",1,128149.4,FALSE
20,"EO70",1,30,"EO61",1,137197.3,FALSE
5,"EO68",1,30,"EO61",1,139019.1,FALSE
20,"EO70",1,23,"EO08",1,145025.2,FALSE
20,"EO70",1,22,"EO08",1,146340.2,FALSE
20,"EO70",1,21,"EO08",1,146732.9,FALSE
5,"EO68",1,23,"EO08",1,147032.5,FALSE
20,"EO70",1,28,"EO26",1,148007.9,FALSE
20,"EO70",1,26,"EO26",2,148312.9,FALSE
5,"EO68",1,22,"EO08",1,148326,FALSE
5,"EO68",1,21,"EO08",1,148709.2,FALSE
20,"EO70",1,25,"EO26",2,149312.4,FALSE
5,"EO68",1,28,"EO26",1,150020.8,FALSE
5,"EO68",1,26,"EO26",2,150312.2,FALSE
20,"EO70",1,24,"EO26",1,150501,FALSE
5,"EO68",1,25,"EO26",2,151316.8,FALSE
5,"EO68",1,24,"EO26",1,152514.4,FALSE
20,"EO70",1,27,"EO26",1,152682.1,FALSE
5,"EO68",1,27,"EO26",1,154700.8,FALSE
