"locationID_A","EOCode_A","group_A","locationID_B","EOCode_B","group_B","distance_m","connected_500m","same_EO","same_group","link_type"
15,"EO18",13,37,"EO27",29,31685.5,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,21,"EO25",15,31812.1,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,24,"EO24",18,31827.3,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,20,"EO25",14,32055.4,FALSE,FALSE,FALSE,"not connected"
19,"EO18",13,37,"EO27",29,32097.3,FALSE,FALSE,FALSE,"not connected"
18,"EO18",13,37,"EO27",29,32401.6,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,20,"EO25",14,32465.1,FALSE,FALSE,FALSE,"not connected"
21,"EO25",15,37,"EO27",29,32552,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,25,"EO24",19,32574.1,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,23,"EO24",17,33094.4,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,13,"EO30",12,33140.2,FALSE,FALSE,FALSE,"not connected"
20,"EO25",14,37,"EO27",29,33224.4,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,22,"EO24",16,33318.2,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,24,"EO24",18,33379.4,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,5,"EO68",5,33438.1,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,13,"EO30",12,34259.4,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,13,"EO30",12,34978.5,FALSE,FALSE,FALSE,"not connected"
4,"EO118",4,6,"EO32",6,35018.2,FALSE,FALSE,FALSE,"not connected"
3,"EO52",3,25,"EO24",19,35031.3,FALSE,FALSE,FALSE,"not connected"
3,"EO52",3,23,"EO24",17,35361.6,FALSE,FALSE,FALSE,"not connected"
3,"EO52",3,22,"EO24",16,35460.3,FALSE,FALSE,FALSE,"not connected"
3,"EO52",3,24,"EO24",18,35746.1,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,21,"EO25",15,35841.4,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,21,"EO25",15,36297.5,FALSE,FALSE,FALSE,"not connected"
3,"EO52",3,26,"EO70",20,36365.9,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,20,"EO25",14,36419.3,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,20,"EO25",14,36624.5,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,40,"EO72",32,36943.1,FALSE,FALSE,FALSE,"not connected"
4,"EO118",4,7,"EO48",7,37483,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,19,"EO18",13,37655.6,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,15,"EO18",13,37732.2,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,18,"EO18",13,38083.9,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,19,"EO18",13,38164.2,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,16,"EO18",13,38181.1,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,17,"EO18",13,38188.6,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,15,"EO18",13,38381.4,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,18,"EO18",13,38460.9,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,17,"EO18",13,38811.8,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,39,"EO67",31,38910,FALSE,FALSE,FALSE,"not connected"
3,"EO52",3,5,"EO68",5,38973.2,FALSE,FALSE,FALSE,"not connected"
